Product type,SKU,Supplier name,Location,Customer demographics,Customer segment,Transportation modes,Routes,Price,Availability,Number of products sold,Revenue generated,Manufacturing costs,Costs,Profit margin,Order quantities,Lead time,Order date,Shipping date,Delivery date,Shipping times,Defect rates,Inspection results,Manufacturing lead time,Production volumes,Stock levels,Transportation costs
Skincare,SKU0015,Supplier A,Kolkata,Male,B2C,Rail,Route C,14.22,406,61,867.42,7.63,465.43,46.34,263,24,2023-06-06,2023-06-08,2023-07-02,24,0.0666,Fail,3,2790,406,449.25
Skincare,SKU0071,Supplier E,Chennai,Non-binary,B2B,Sea,Route B,115.31,217,141,16258.71,67.37,9499.17,41.57,395,7,2023-01-12,2023-01-13,2023-01-20,7,0.004,Pass,15,963,217,61.44
Beauty,SKU0093,Supplier D,Kolkata,Male,D2C,Sea,Route C,97.28,51,31,3015.68,38.88,1205.28,60.03,286,4,2023-09-27,2023-10-02,2023-10-06,4,0.0908,Pass,6,1822,51,292.93
Cosmetics,SKU0020,Supplier E,Delhi,Non-binary,B2C,Road,Route A,105.74,283,65,6873.1,58.51,3803.15,44.67,183,10,2024-01-18,2024-01-20,2024-01-30,10,0.0808,Pass,14,3727,283,255.44
Haircare,SKU0008,Supplier C,Delhi,Male,D2C,Rail,Route A,65.39,445,127,8304.53,28.94,3675.38,55.74,239,26,2023-09-04,2023-09-09,2023-10-05,26,0.0122,Pass,15,1382,445,99.52
Cosmetics,SKU0085,Supplier B,Bangalore,Non-binary,D2C,Rail,Route A,6.01,455,136,817.36,2.45,333.2,59.23,201,5,2024-05-01,2024-05-06,2024-05-11,5,0.0692,Pass,11,3863,455,474.31
Cosmetics,SKU0052,Supplier B,Chennai,Male,B2B,Air,Route A,57.73,496,51,2944.23,28.8,1468.8,50.11,162,12,2024-01-18,2024-01-22,2024-02-03,12,0.0252,Fail,19,798,496,116.64
Haircare,SKU0076,Supplier A,Delhi,Male,B2B,Road,Route A,93.39,129,53,4949.67,61.95,3283.35,33.67,452,23,2023-08-14,2023-08-15,2023-09-07,23,0.0279,Pass,14,2877,129,356.32
Haircare,SKU0036,Supplier A,Delhi,Unknown,B2B,Rail,Route B,147.92,415,246,36388.32,66.25,16297.5,55.21,450,4,2024-05-12,2024-05-14,2024-05-18,4,0.0081,Pass,7,3031,415,377.7
Beauty,SKU0085,Supplier A,Mumbai,Unknown,B2C,Road,Route C,147.6,469,239,35276.4,63.22,15109.58,57.17,375,16,2024-03-17,2024-03-20,2024-04-05,16,0.0835,Fail,5,759,469,363.12
Healthcare,SKU0094,Supplier A,Pune,Female,B2B,Rail,Route A,52.26,419,146,7629.96,19.32,2820.72,63.03,466,20,2023-12-14,2023-12-15,2024-01-04,20,0.0645,Pass,9,2485,419,228.91
Skincare,SKU0060,Supplier B,Chennai,Male,B2B,Road,Route A,126.47,266,150,18970.5,71.33,10699.5,43.6,395,10,2023-09-13,2023-09-14,2023-09-24,10,0.0258,Fail,19,2149,266,491.98
Beauty,SKU0063,Supplier B,Pune,Male,B2B,Rail,Route A,149.46,253,139,20774.94,82.69,11493.91,44.67,58,5,2024-05-07,2024-05-09,2024-05-14,5,0.09,Fail,18,2355,253,175.49
Skincare,SKU0037,Supplier C,Ahmedabad,Female,B2B,Sea,Route A,135.08,151,53,7159.24,86.5,4584.5,35.96,162,24,2024-03-09,2024-03-14,2024-04-07,24,0.0888,Fail,8,4299,151,122.73
Healthcare,SKU0096,Supplier E,Kolkata,Unknown,D2C,Air,Route A,92.93,226,111,10315.23,28.07,3115.77,69.79,433,25,2023-11-18,2023-11-19,2023-12-14,25,0.0664,Pass,4,2969,226,187.41
Cosmetics,SKU0009,Supplier A,Bangalore,Male,D2C,Air,Route C,70.02,444,168,11763.36,27.65,4645.2,60.51,326,4,2023-03-11,2023-03-13,2023-03-17,4,0.0712,Fail,10,1318,444,130.47
Cosmetics,SKU0054,Supplier A,Mumbai,Female,D2C,Sea,Route A,100.35,32,11,1103.85,40.75,448.25,59.39,287,27,2024-06-19,2024-06-22,2024-07-19,27,0.0368,Pass,8,3536,32,315.44
Haircare,SKU0086,Supplier D,Bangalore,Male,B2B,Rail,Route C,75.58,263,26,1965.08,42.18,1096.68,44.19,416,2,2023-11-04,2023-11-08,2023-11-10,2,0.035,Pass,7,3167,263,271.63
Cosmetics,SKU0069,Supplier A,Mumbai,Female,B2C,Road,Route A,109.76,146,3,329.28,34.84,104.52,68.26,221,3,2023-08-07,2023-08-12,2023-08-15,3,0.0769,Pass,16,3544,146,473.21
Haircare,SKU0057,Supplier C,Bangalore,Non-binary,D2C,Road,Route A,133.11,379,232,30881.52,62.73,14553.36,52.87,230,5,2023-11-06,2023-11-11,2023-11-16,5,0.0928,Pass,3,1239,379,307.53
Haircare,SKU0096,Supplier A,Mumbai,Female,D2C,Sea,Route A,47.7,468,160,7632.0,24.93,3988.8,47.74,272,3,2023-06-09,2023-06-12,2023-06-15,3,0.0169,Pass,5,1995,468,429.9
Haircare,SKU0033,Supplier E,Ahmedabad,Non-binary,B2B,Road,Route B,15.21,113,31,471.51,5.42,168.02,64.37,204,15,2023-02-22,2023-02-23,2023-03-10,15,0.099,Fail,19,3275,113,182.88
Beauty,SKU0095,Supplier C,Bangalore,Male,B2B,Road,Route C,106.07,298,245,25987.15,44.4,10878.0,58.14,75,16,2024-03-28,2024-04-02,2024-04-18,16,0.0553,Fail,15,3050,298,414.55
Beauty,SKU0048,Supplier E,Kolkata,Male,B2C,Sea,Route A,77.72,172,19,1476.68,35.65,677.35,54.13,191,1,2023-06-01,2023-06-05,2023-06-06,1,0.0071,Pass,17,2874,172,450.5
Haircare,SKU0086,Supplier B,Delhi,Female,B2B,Air,Route A,102.44,50,24,2458.56,42.47,1019.28,58.54,363,26,2023-04-16,2023-04-19,2023-05-15,26,0.0543,Fail,19,1815,50,437.18
Skincare,SKU0095,Supplier A,Bangalore,Non-binary,B2B,Road,Route B,10.63,270,53,563.39,5.41,286.73,49.11,102,11,2023-12-07,2023-12-11,2023-12-22,11,0.0127,Pass,14,104,270,172.19
Healthcare,SKU0026,Supplier D,Delhi,Female,B2B,Road,Route C,71.3,261,46,3279.8,42.1,1936.6,40.95,318,3,2024-04-16,2024-04-19,2024-04-22,3,0.0637,Pass,12,1793,261,486.29
Beauty,SKU0036,Supplier D,Hyderabad,Unknown,D2C,Sea,Route A,10.95,119,62,678.9,3.63,225.06,66.85,278,19,2023-03-13,2023-03-16,2023-04-04,19,0.0439,Pass,11,2031,119,132.95
Healthcare,SKU0075,Supplier C,Bangalore,Unknown,B2C,Sea,Route B,64.3,57,57,3665.1,25.46,1451.22,60.4,167,1,2023-09-29,2023-09-30,2023-10-01,1,0.0442,Pass,10,3443,57,371.57
Cosmetics,SKU0050,Supplier E,Mumbai,Unknown,B2B,Air,Route B,79.92,191,190,15184.8,37.39,7104.1,53.22,125,5,2023-07-14,2023-07-17,2023-07-22,5,0.0612,Pass,7,2844,191,304.72
Skincare,SKU0080,Supplier A,Hyderabad,Non-binary,D2C,Rail,Route B,54.57,219,68,3710.76,35.04,2382.72,35.79,253,15,2023-11-18,2023-11-19,2023-12-04,15,0.0041,Pass,18,4746,219,57.72
Skincare,SKU0025,Supplier C,Bangalore,Non-binary,B2C,Road,Route B,55.21,253,221,12201.41,30.16,6665.36,45.37,374,5,2024-03-06,2024-03-10,2024-03-15,5,0.0399,Pass,12,3830,253,449.01
Haircare,SKU0075,Supplier B,Pune,Unknown,D2C,Air,Route C,77.95,256,3,233.85,43.42,130.26,44.3,433,16,2023-11-26,2023-11-30,2023-12-16,16,0.0071,Fail,14,3846,256,336.38
Skincare,SKU0037,Supplier B,Mumbai,Male,B2B,Sea,Route A,98.28,416,178,17493.84,44.66,7949.48,54.56,466,11,2024-06-11,2024-06-16,2024-06-27,11,0.0941,Pass,13,4480,416,343.17
Beauty,SKU0006,Supplier B,Kolkata,Unknown,B2C,Air,Route C,15.06,94,45,677.7,8.24,370.8,45.29,264,2,2023-09-08,2023-09-12,2023-09-14,2,0.0039,Pass,10,1725,94,82.03
Skincare,SKU0032,Supplier D,Pune,Unknown,B2B,Air,Route C,54.39,114,104,5656.56,31.48,3273.92,42.12,124,7,2023-06-01,2023-06-02,2023-06-09,7,0.0118,Pass,6,828,114,444.86
Cosmetics,SKU0072,Supplier D,Kolkata,Female,B2C,Sea,Route B,121.5,248,163,19804.5,64.08,10445.04,47.26,276,10,2023-09-13,2023-09-14,2023-09-24,10,0.0423,Fail,18,1671,248,495.73
Cosmetics,SKU0071,Supplier E,Pune,Unknown,B2C,Air,Route C,58.94,486,95,5599.3,30.93,2938.35,47.52,317,24,2024-04-01,2024-04-03,2024-04-27,24,0.0867,Fail,15,2426,486,243.05
Haircare,SKU0081,Supplier E,Ahmedabad,Male,D2C,Sea,Route A,114.41,360,285,32606.85,57.05,16259.25,50.14,266,17,2023-09-02,2023-09-05,2023-09-22,17,0.0534,Fail,19,495,360,194.02
Haircare,SKU0070,Supplier C,Hyderabad,Female,B2C,Air,Route C,143.99,402,75,10799.25,97.92,7344.0,32.0,433,9,2023-03-24,2023-03-26,2023-04-04,9,0.0319,Pass,17,243,402,267.13
Beauty,SKU0053,Supplier A,Pune,Unknown,B2B,Air,Route B,70.02,98,11,770.22,26.96,296.56,61.5,102,25,2023-12-05,2023-12-10,2024-01-04,25,0.0554,Fail,9,2256,98,406.21
Skincare,SKU0098,Supplier E,Kolkata,Non-binary,B2C,Rail,Route B,139.98,185,166,23236.68,66.72,11075.52,52.34,264,14,2024-01-25,2024-01-29,2024-02-12,14,0.055,Pass,13,4946,185,295.66
Cosmetics,SKU0063,Supplier E,Delhi,Unknown,B2B,Rail,Route B,25.73,73,57,1466.61,16.35,931.95,36.46,223,12,2023-08-13,2023-08-16,2023-08-28,12,0.0867,Fail,12,3093,73,365.44
Skincare,SKU0017,Supplier B,Ahmedabad,Male,B2B,Rail,Route A,134.33,193,4,537.32,93.31,373.24,30.54,414,29,2024-06-30,2024-07-01,2024-07-30,29,0.0085,Fail,19,610,193,216.79
Skincare,SKU0034,Supplier B,Kolkata,Unknown,B2C,Sea,Route B,136.62,300,131,17897.22,45.55,5967.05,66.66,494,4,2024-01-24,2024-01-27,2024-01-31,4,0.0376,Pass,9,4286,300,220.09
Haircare,SKU0011,Supplier D,Chennai,Non-binary,B2B,Road,Route C,41.07,18,6,246.42,18.98,113.88,53.79,175,3,2024-04-26,2024-04-27,2024-04-30,3,0.0254,Pass,10,994,18,75.34
Healthcare,SKU0026,Supplier A,Delhi,Female,B2B,Rail,Route C,99.14,0,0,0.0,67.9,0.0,0.0,240,3,2023-01-21,2023-01-26,2023-01-29,3,0.0583,Pass,3,233,0,264.97
Healthcare,SKU0060,Supplier E,Delhi,Male,B2B,Sea,Route A,121.31,172,159,19288.29,79.63,12661.17,34.36,423,13,2023-09-20,2023-09-23,2023-10-06,13,0.0043,Pass,7,1350,172,466.09
Cosmetics,SKU0074,Supplier A,Chennai,Male,D2C,Air,Route A,105.83,440,46,4868.18,44.22,2034.12,58.22,50,9,2024-01-20,2024-01-24,2024-02-02,9,0.0217,Pass,5,2803,440,332.4
Haircare,SKU0073,Supplier E,Mumbai,Non-binary,B2B,Sea,Route A,111.88,458,11,1230.68,73.41,807.51,34.39,457,10,2023-02-12,2023-02-15,2023-02-25,10,0.095,Fail,10,1245,458,329.06
Skincare,SKU0056,Supplier D,Mumbai,Unknown,B2B,Sea,Route C,32.28,89,7,225.96,13.12,91.84,59.36,406,26,2024-01-06,2024-01-10,2024-02-05,26,0.0229,Pass,19,2608,89,488.48
Cosmetics,SKU0056,Supplier D,Ahmedabad,Male,B2C,Rail,Route A,104.29,412,45,4693.05,70.91,3190.95,32.01,305,3,2023-10-02,2023-10-05,2023-10-08,3,0.0823,Pass,4,109,412,311.52
Skincare,SKU0044,Supplier E,Pune,Female,B2C,Air,Route B,140.25,241,108,15147.0,63.19,6824.52,54.94,114,5,2023-01-30,2023-02-03,2023-02-08,5,0.0026,Pass,17,4258,241,266.17
Haircare,SKU0077,Supplier C,Chennai,Female,B2B,Air,Route C,61.98,314,282,17478.36,30.21,8519.22,51.26,148,17,2023-10-10,2023-10-15,2023-11-01,17,0.0838,Pass,18,4713,314,110.23
Skincare,SKU0089,Supplier D,Delhi,Male,B2B,Sea,Route A,105.3,196,94,9898.2,54.98,5168.12,47.79,102,5,2024-05-02,2024-05-06,2024-05-11,5,0.0997,Fail,12,4278,196,475.14
Skincare,SKU0085,Supplier B,Chennai,Unknown,D2C,Sea,Route B,40.87,77,72,2942.64,16.75,1206.0,59.02,309,14,2024-01-13,2024-01-17,2024-01-31,14,0.0251,Pass,19,4683,77,152.89
Skincare,SKU0033,Supplier C,Chennai,Non-binary,B2B,Air,Route A,94.63,347,94,8895.22,47.25,4441.5,50.07,487,8,2023-08-25,2023-08-26,2023-09-03,8,0.0022,Pass,14,2084,347,397.54
Beauty,SKU0093,Supplier D,Chennai,Male,B2B,Sea,Route A,85.03,388,221,18791.63,30.07,6645.47,64.64,352,27,2024-06-21,2024-06-26,2024-07-23,27,0.0403,Pass,7,4081,388,239.24
Haircare,SKU0002,Supplier B,Chennai,Male,B2B,Sea,Route C,107.09,434,102,10923.18,74.13,7561.26,30.78,355,6,2024-06-30,2024-07-02,2024-07-08,6,0.0617,Pass,17,2582,434,315.46
Beauty,SKU0002,Supplier D,Mumbai,Unknown,B2C,Air,Route A,136.1,307,248,33752.8,90.4,22419.2,33.58,79,6,2023-10-19,2023-10-23,2023-10-29,6,0.0451,Fail,19,2280,307,329.94
Haircare,SKU0009,Supplier D,Mumbai,Male,B2B,Air,Route C,120.49,137,73,8795.77,58.28,4254.44,51.63,83,17,2024-02-15,2024-02-19,2024-03-07,17,0.0258,Pass,4,4400,137,329.36
Haircare,SKU0016,Supplier A,Delhi,Unknown,B2C,Rail,Route B,35.32,42,10,353.2,17.1,171.0,51.59,385,19,2024-03-02,2024-03-07,2024-03-26,19,0.0537,Pass,18,999,42,118.36
Cosmetics,SKU0073,Supplier D,Chennai,Female,D2C,Air,Route B,31.37,183,24,752.88,15.88,381.12,49.38,209,3,2023-03-03,2023-03-08,2023-03-11,3,0.0874,Pass,7,4799,183,127.54
Healthcare,SKU0023,Supplier B,Delhi,Unknown,B2C,Rail,Route B,55.4,21,20,1108.0,26.83,536.6,51.57,395,6,2023-03-18,2023-03-20,2023-03-26,6,0.0121,Pass,19,1853,21,452.4
Healthcare,SKU0091,Supplier B,Chennai,Female,B2C,Air,Route B,105.11,72,25,2627.75,60.45,1511.25,42.49,105,25,2023-10-17,2023-10-21,2023-11-15,25,0.0481,Pass,18,3744,72,443.11
Healthcare,SKU0083,Supplier E,Delhi,Male,B2B,Air,Route B,5.38,291,256,1377.28,2.01,514.56,62.64,256,8,2023-06-02,2023-06-05,2023-06-13,8,0.0748,Pass,16,4669,291,291.47
Cosmetics,SKU0057,Supplier E,Chennai,Unknown,B2C,Rail,Route B,115.19,77,1,115.19,41.36,41.36,64.09,420,13,2023-05-08,2023-05-12,2023-05-25,13,0.0062,Pass,17,1018,77,371.01
Healthcare,SKU0056,Supplier E,Kolkata,Male,B2B,Air,Route C,79.19,238,236,18688.84,40.63,9588.68,48.69,64,18,2023-11-27,2023-12-02,2023-12-20,18,0.0447,Pass,7,2175,238,97.19
Cosmetics,SKU0098,Supplier E,Kolkata,Female,B2C,Rail,Route B,7.91,440,272,2151.52,4.07,1107.04,48.55,74,7,2023-10-03,2023-10-08,2023-10-15,7,0.0089,Pass,6,166,440,450.74
Beauty,SKU0082,Supplier E,Pune,Non-binary,B2C,Sea,Route B,99.08,145,110,10898.8,52.98,5827.8,46.53,313,4,2024-05-18,2024-05-19,2024-05-23,4,0.0537,Fail,14,2572,145,313.94
Healthcare,SKU0053,Supplier B,Hyderabad,Male,B2C,Road,Route B,53.93,179,25,1348.25,26.93,673.25,50.06,278,2,2024-05-22,2024-05-25,2024-05-27,2,0.0244,Fail,8,1705,179,470.16
Haircare,SKU0099,Supplier C,Mumbai,Unknown,B2C,Road,Route A,40.66,3,1,40.66,25.3,25.3,37.78,201,11,2024-02-18,2024-02-23,2024-03-05,11,0.0088,Pass,5,342,3,453.54
Cosmetics,SKU0081,Supplier C,Ahmedabad,Non-binary,D2C,Air,Route B,7.65,228,35,267.75,3.51,122.85,54.12,269,24,2024-03-28,2024-03-29,2024-04-22,24,0.0112,Pass,17,745,228,462.83
Skincare,SKU0004,Supplier D,Mumbai,Male,D2C,Rail,Route A,146.38,93,50,7319.0,75.24,3762.0,48.6,75,25,2023-09-03,2023-09-05,2023-09-30,25,0.0718,Pass,14,1241,93,175.99
Beauty,SKU0016,Supplier A,Ahmedabad,Non-binary,B2C,Rail,Route B,108.09,211,19,2053.71,63.0,1197.0,41.72,191,17,2023-06-07,2023-06-11,2023-06-28,17,0.053,Pass,7,2017,211,179.88
Beauty,SKU0050,Supplier D,Bangalore,Male,B2C,Rail,Route B,27.38,355,258,7064.04,13.19,3403.02,51.83,310,1,2023-07-15,2023-07-20,2023-07-21,1,0.0369,Pass,14,2160,355,78.52
Cosmetics,SKU0037,Supplier C,Kolkata,Female,B2C,Rail,Route B,104.26,83,64,6672.64,36.14,2312.96,65.34,448,5,2023-11-02,2023-11-07,2023-11-12,5,0.0003,Fail,5,3777,83,262.21
Haircare,SKU0059,Supplier E,Pune,Unknown,B2B,Rail,Route A,20.47,68,61,1248.67,7.16,436.76,65.02,425,28,2023-11-26,2023-11-28,2023-12-26,28,0.0965,Pass,4,2735,68,495.92
Haircare,SKU0050,Supplier D,Pune,Female,D2C,Sea,Route A,59.99,0,0,0.0,19.15,0.0,0.0,398,8,2023-06-05,2023-06-09,2023-06-17,8,0.0722,Pass,11,1352,0,112.9
Skincare,SKU0002,Supplier A,Ahmedabad,Male,B2C,Sea,Route B,34.24,285,212,7258.88,19.38,4108.56,43.4,459,5,2023-05-28,2023-06-01,2023-06-06,5,0.0815,Pass,15,1165,285,458.54
Cosmetics,SKU0043,Supplier D,Mumbai,Unknown,D2C,Road,Route C,61.9,295,294,18198.6,30.03,8828.82,51.49,471,8,2024-06-30,2024-07-04,2024-07-12,8,0.0377,Pass,17,1092,295,292.9
Healthcare,SKU0030,Supplier B,Chennai,Male,B2C,Air,Route C,38.67,224,193,7463.31,15.14,2922.02,60.85,88,14,2023-04-03,2023-04-07,2023-04-21,14,0.0067,Pass,8,2726,224,102.6
Haircare,SKU0042,Supplier A,Kolkata,Non-binary,B2C,Air,Route A,96.02,455,41,3936.82,52.62,2157.42,45.2,280,20,2023-02-27,2023-03-02,2023-03-22,20,0.0794,Pass,8,1220,455,307.92
Cosmetics,SKU0022,Supplier D,Bangalore,Female,B2C,Air,Route A,107.51,410,288,30962.88,65.04,18731.52,39.5,172,4,2023-06-29,2023-06-30,2023-07-04,4,0.057,Fail,8,3328,410,389.59
Skincare,SKU0033,Supplier C,Ahmedabad,Female,B2B,Rail,Route B,83.28,156,46,3830.88,48.97,2252.62,41.2,144,4,2023-01-10,2023-01-14,2023-01-18,4,0.0722,Pass,6,893,156,319.3
Cosmetics,SKU0089,Supplier C,Pune,Female,B2C,Rail,Route A,41.51,68,19,788.69,18.14,344.66,56.3,183,11,2023-09-14,2023-09-18,2023-09-29,11,0.0959,Pass,17,445,68,230.38
Beauty,SKU0074,Supplier D,Hyderabad,Unknown,B2C,Road,Route C,142.36,395,217,30892.12,48.45,10513.65,65.97,160,13,2023-10-30,2023-11-02,2023-11-15,13,0.0139,Pass,13,3631,395,376.74
Healthcare,SKU0037,Supplier E,Ahmedabad,Female,D2C,Air,Route C,19.82,495,132,2616.24,11.11,1466.52,43.95,141,24,2023-08-24,2023-08-29,2023-09-22,24,0.0023,Pass,11,4246,495,218.5
Haircare,SKU0081,Supplier B,Mumbai,Male,D2C,Sea,Route C,111.78,295,213,23809.14,38.6,8221.8,65.47,454,11,2023-02-10,2023-02-13,2023-02-24,11,0.0451,Fail,6,1305,295,124.48
Beauty,SKU0042,Supplier A,Chennai,Female,D2C,Sea,Route C,126.44,0,0,0.0,67.84,0.0,0.0,198,22,2024-03-01,2024-03-03,2024-03-25,22,0.0519,Pass,11,301,0,220.69
Cosmetics,SKU0033,Supplier C,Bangalore,Male,B2C,Road,Route A,121.41,116,25,3035.25,56.55,1413.75,53.42,139,9,2024-05-08,2024-05-11,2024-05-20,9,0.0114,Pass,4,3381,116,463.94
Beauty,SKU0012,Supplier D,Hyderabad,Male,B2C,Sea,Route C,74.72,346,16,1195.52,49.7,795.2,33.49,231,11,2024-02-09,2024-02-10,2024-02-21,11,0.0033,Pass,9,4905,346,129.37
Haircare,SKU0082,Supplier E,Pune,Unknown,B2B,Sea,Route C,9.91,160,28,277.48,3.02,84.56,69.53,98,11,2024-01-16,2024-01-17,2024-01-28,11,0.0632,Pass,11,788,160,130.12
Beauty,SKU0090,Supplier A,Ahmedabad,Female,B2B,Road,Route B,85.81,341,62,5320.22,36.03,2233.86,58.01,273,29,2023-11-06,2023-11-10,2023-12-09,29,0.0184,Pass,19,4624,341,80.18
Skincare,SKU0031,Supplier A,Mumbai,Non-binary,D2C,Rail,Route C,59.77,143,18,1075.86,35.0,630.0,41.44,243,18,2023-05-19,2023-05-23,2023-06-10,18,0.0294,Fail,19,2261,143,290.51
Beauty,SKU0063,Supplier D,Mumbai,Non-binary,B2B,Rail,Route B,77.07,434,131,10096.17,25.45,3333.95,66.98,180,1,2024-02-22,2024-02-25,2024-02-26,1,0.0334,Pass,12,2001,434,217.99
Beauty,SKU0088,Supplier C,Mumbai,Male,B2C,Sea,Route A,81.35,480,86,6996.1,47.7,4102.2,41.36,398,23,2024-01-12,2024-01-17,2024-02-09,23,0.0156,Pass,5,2590,480,233.59
Healthcare,SKU0085,Supplier D,Mumbai,Male,B2C,Air,Route A,78.3,327,53,4149.9,29.08,1541.24,62.86,146,25,2023-08-06,2023-08-11,2023-09-05,25,0.08,Pass,10,2243,327,300.52
Cosmetics,SKU0098,Supplier B,Mumbai,Female,B2C,Air,Route C,148.37,287,119,17656.03,68.08,8101.52,54.11,214,14,2023-08-01,2023-08-06,2023-08-20,14,0.083,Pass,16,922,287,113.49
Healthcare,SKU0017,Supplier C,Bangalore,Male,B2B,Road,Route B,134.97,6,1,134.97,86.28,86.28,36.07,161,7,2023-09-14,2023-09-16,2023-09-23,7,0.0736,Pass,6,1408,6,131.65
Beauty,SKU0003,Supplier E,Hyderabad,Female,D2C,Rail,Route C,66.11,1,0,0.0,28.71,0.0,0.0,435,15,2023-06-28,2023-07-01,2023-07-16,15,0.0625,Pass,14,1655,1,213.38
Healthcare,SKU0058,Supplier A,Ahmedabad,Unknown,D2C,Air,Route C,95.5,421,255,24352.5,39.9,10174.5,58.22,391,9,2024-01-06,2024-01-11,2024-01-20,9,0.0436,Pass,19,2861,421,400.89
Healthcare,SKU0059,Supplier E,Chennai,Unknown,B2C,Road,Route B,87.04,58,45,3916.8,40.92,1841.4,52.99,164,23,2023-02-01,2023-02-02,2023-02-25,23,0.08,Fail,11,2699,58,280.61
Skincare,SKU0042,Supplier A,Mumbai,Non-binary,D2C,Sea,Route B,106.33,280,200,21266.0,49.83,9966.0,53.14,203,22,2023-06-01,2023-06-02,2023-06-24,22,0.0645,Pass,15,2757,280,286.56
Cosmetics,SKU0059,Supplier E,Chennai,Male,D2C,Road,Route C,44.48,74,69,3069.12,27.85,1921.65,37.39,90,18,2024-06-01,2024-06-06,2024-06-24,18,0.053,Fail,19,4783,74,173.32
Cosmetics,SKU0058,Supplier B,Pune,Unknown,B2C,Rail,Route C,34.93,361,26,908.18,20.71,538.46,40.71,147,25,2023-08-22,2023-08-26,2023-09-20,25,0.0266,Pass,9,3053,361,320.23
Healthcare,SKU0041,Supplier C,Pune,Unknown,B2B,Road,Route A,137.59,409,189,26004.51,60.75,11481.75,55.85,359,26,2023-09-19,2023-09-22,2023-10-18,26,0.0422,Pass,6,4989,409,382.12
Healthcare,SKU0096,Supplier D,Mumbai,Non-binary,D2C,Road,Route B,14.9,266,10,149.0,6.24,62.4,58.12,276,4,2024-01-17,2024-01-19,2024-01-23,4,0.0719,Pass,17,2811,266,477.19
Haircare,SKU0037,Supplier D,Kolkata,Female,B2B,Rail,Route A,140.84,68,55,7746.2,72.66,3996.3,48.41,276,1,2023-11-16,2023-11-19,2023-11-20,1,0.027,Pass,19,4560,68,428.69
Healthcare,SKU0015,Supplier C,Hyderabad,Unknown,D2C,Road,Route C,27.43,200,153,4196.79,9.05,1384.65,67.01,66,2,2023-10-13,2023-10-18,2023-10-20,2,0.0107,Pass,13,1739,200,235.76
Haircare,SKU0035,Supplier A,Bangalore,Male,B2B,Air,Route C,68.05,38,34,2313.7,20.48,696.32,69.9,484,3,2023-11-13,2023-11-16,2023-11-19,3,0.0078,Pass,4,2422,38,172.47
Skincare,SKU0095,Supplier A,Bangalore,Unknown,B2C,Rail,Route B,50.62,442,16,809.92,25.74,411.84,49.15,61,10,2023-02-01,2023-02-02,2023-02-12,10,0.0691,Pass,10,4162,442,293.86
Beauty,SKU0093,Supplier C,Chennai,Male,B2B,Air,Route C,121.95,214,117,14268.15,48.76,5704.92,60.02,138,16,2023-11-29,2023-12-04,2023-12-20,16,0.0849,Pass,11,146,214,341.0
